#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
WP_012818167.1       -          2-Hacid_dh           PF00389.28   5.6e-41  136.3   0.4   1.5e-40  135.0   0.2   1.8   2   0   0   2   2   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_012818167.1       -          2-Hacid_dh_C         PF02826.17   7.6e-69  227.6   0.0   1.4e-68  226.8   0.0   1.4   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015738386.1       -          2-Hacid_dh_C         PF02826.17   5.1e-10   36.0   0.1   9.7e-10   35.0   0.0   1.5   2   0   0   2   2   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015738977.1       -          2-Hacid_dh_C         PF02826.17   2.8e-09   33.5   0.0   8.5e-09   32.0   0.0   1.7   2   0   0   2   2   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015738273.1       -          2-Hacid_dh_C         PF02826.17   7.3e-08   28.9   0.0   1.2e-07   28.2   0.0   1.3   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015739247.1       -          2-Hacid_dh_C         PF02826.17     9e-08   28.6   0.1   1.6e-07   27.8   0.1   1.3   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_041458893.1       -          ABC_tran             PF00005.25   7.9e-39  130.3   0.0     1e-38  129.9   0.0   1.1   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015738500.1       -          ABC_tran             PF00005.25   3.6e-38  128.2   0.0   4.5e-38  127.8   0.0   1.1   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015738583.1       -          ABC_tran             PF00005.25   2.1e-37  125.7   0.0   2.8e-37  125.3   0.0   1.2   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015738586.1       -          ABC_tran             PF00005.25   2.7e-36  122.1   0.0   3.7e-36  121.6   0.0   1.2   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015739570.1       -          ABC_tran             PF00005.25     5e-35  118.0   0.0   6.3e-35  117.7   0.0   1.1   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015739181.1       -          ABC_tran             PF00005.25   2.2e-34  115.9   0.0   2.9e-34  115.5   0.0   1.2   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015739107.1       -          ABC_tran             PF00005.25   1.2e-32  110.3   0.0   2.8e-32  109.1   0.0   1.6   2   0   0   2   2   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015739202.1       -          ABC_tran             PF00005.25   1.4e-32  110.1   0.0   2.1e-32  109.5   0.0   1.3   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015738667.1       -          ABC_tran             PF00005.25   1.8e-32  109.7   0.0   2.9e-32  109.0   0.0   1.3   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015739460.1       -          ABC_tran             PF00005.25   2.8e-32  109.1   0.0   3.7e-32  108.7   0.0   1.1   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015739461.1       -          ABC_tran             PF00005.25   3.2e-32  108.9   0.0   4.3e-32  108.5   0.0   1.2   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015739612.1       -          ABC_tran             PF00005.25   5.7e-32  108.1   0.0   7.7e-32  107.7   0.0   1.2   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015739023.1       -          ABC_tran             PF00005.25   9.3e-32  107.4   0.0   1.4e-31  106.9   0.0   1.2   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015738391.1       -          ABC_tran             PF00005.25   8.6e-31  104.3   0.0   1.2e-30  103.8   0.0   1.2   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015739940.1       -          ABC_tran             PF00005.25   1.2e-30  103.8   0.0   1.6e-30  103.4   0.0   1.2   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_041458810.1       -          ABC_tran             PF00005.25   3.1e-30  102.4   0.0   4.2e-30  102.0   0.0   1.2   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015739565.1       -          ABC_tran             PF00005.25   5.3e-30  101.7   0.0   9.5e-30  100.9   0.0   1.4   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_041458833.1       -          ABC_tran             PF00005.25   1.6e-29  100.1   0.0   2.3e-29   99.7   0.0   1.2   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015738323.1       -          ABC_tran             PF00005.25   2.5e-27   93.1   0.0   3.6e-27   92.5   0.0   1.2   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015738573.1       -          ABC_tran             PF00005.25   1.3e-23   81.0   0.0   1.8e-23   80.6   0.0   1.1   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015739787.1       -          ABC_tran             PF00005.25   1.7e-21   74.2   0.0   6.9e-10   36.6   0.0   4.3   3   1   0   3   3   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_041458751.1       -          ABC_tran             PF00005.25   9.5e-10   36.1   0.0   1.7e-09   35.3   0.0   1.4   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015739212.1       -          ABC_tran             PF00005.25   6.6e-07   26.9   0.0     0.004   14.7   0.0   2.4   2   0   0   2   2   0   0 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015739051.1       -          ABC_tran             PF00005.25   7.7e-06   23.5   0.0   1.6e-05   22.4   0.0   1.5   1   0   0   1   1   0   0 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015739142.1       -          Acyltransferase      PF01553.19   3.7e-35  117.5   0.0   4.5e-35  117.2   0.0   1.1   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015738970.1       -          adh_short            PF00106.23     3e-67  222.8   2.9   3.6e-67  222.6   2.9   1.1   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015738329.1       -          adh_short            PF00106.23   1.9e-60  200.6   0.0   2.3e-60  200.4   0.0   1.0   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015738917.1       -          adh_short            PF00106.23     2e-28   96.2   0.0   2.8e-28   95.7   0.0   1.2   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015738238.1       -          Aldedh               PF00171.20   7.4e-25   84.3   5.0   7.4e-19   64.5   3.9   2.2   2   0   0   2   2   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_049757208.1       -          Aminotran_3          PF00202.19  1.4e-128  426.0   0.0  1.9e-128  425.6   0.0   1.1   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_041458856.1       -          Aminotran_3          PF00202.19  1.8e-108  359.7   0.0  2.6e-108  359.2   0.0   1.1   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015739240.1       -          Aminotran_3          PF00202.19   1.2e-85  284.6   0.0   1.3e-85  284.4   0.0   1.0   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015739569.1       -          AMP-binding          PF00501.26   1.3e-99  330.6   0.0   1.7e-99  330.2   0.0   1.1   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015739813.1       -          AMP-binding          PF00501.26   1.2e-98  327.4   0.0   1.4e-98  327.2   0.0   1.1   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015739807.1       -          AMP-binding          PF00501.26   9.6e-92  304.7   0.0   1.2e-91  304.3   0.0   1.1   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
WP_015739815.1       -          AMP-binding          PF00501.26   2.3e-83  277.1   0.0     3e-83  276.7   0.0   1.1   1   0   0   1   1   1   1 [GCF_000024605.1_ASM2460v1_protein.faa]
