id	4440984.3	4441020.3	4441021.3	4441022.3	4441205.3	4441214.3	4441215.3	4441347.3	4441363.3	4442145.3	4442219.3	4442466.3	4443316.3	4443317.3	4443695.3	4443697.3	4443698.3	4443699.3	4443700.3	4443701.3	4443702.3	4443703.3	4443704.3	4443705.3	4443706.3	4443707.3	4443708.3	4443709.3	4443712.3	4443713.3	4443714.3	4443715.3	4443716.3	4443717.3	4443725.3	4443729.3	4443731.3	4443732.3	4443766.3	4443776.3	4443777.3	4447810.3	4447811.3	4448226.3	4449206.3	4451033.3	4451034.3	4451035.3	4451036.3	4461451.3	4461454.3	4461456.3	4491734.3	4518021.3	4524971.3	4557977.3	4557979.3	4557980.3	4557981.3	4557982.3	4557984.3	4557986.3	4557988.3	4557991.3	4557994.3	4557995.3
SS	9.468	9.348	9.668	9.855	3.744	7.502	8.278	4.822	8.6	0.171	-0.275	5.359	0.205	2.447	4.231	4.697	-2.227	7.085	2.787	6.231	6.144	4.683	5.026	7.42	3.394	3.911	-0.985	-1.46	6.085	6.08	5.33	5.499	6.808	6.677	5.45	4.51	2.499	4.269	6.253	0.284	-0.026	6.577	5.942	-2.208	5.856	9.595	9.654	9.918	9.315	0.431	1.743	4.656	8.683	-1.215	9.755	-0.409	2.397	3.186	3.939	7.281	5.693	9.713	5.752	0.824	1.328	4.473
1	5.912	6.789	7.262	6.683	1.809	3.424	4.99	4.937	4.927	-0.314	-0.167	3.337	-1.112	1.764	1.184	3.082	-2.053	4.773	0.198	6.262	0.225	3.305	1.479	2.076	3.315	2.035	-0.68	-0.92	6.996	2.739	2.072	2.513	2.73	3.294	1.405	2.658	-0.088	2.638	2.912	0.066	-0.035	3.892	3.004	0.252	2.119	4.344	7.172	5.106	5.376	-0.771	0.917	2.255	6.873	-0.159	5.901	1.061	1.044	2.22	3.779	5.6	3.273	4.832	2.481	0.106	1.934	3.648
2	6.763	5.588	4.598	6.932	2.303	4.661	2.208	5.227	5.27	-0.035	-0.312	4.589	-1.029	1.538	0.619	2.209	-1.281	5.386	2.73	5.643	3.825	2.643	2.875	2.548	5.559	4.269	-0.905	-1.027	1.314	-0.557	3.515	2.844	7.139	3.025	4.088	3.877	1.573	1.048	2.799	0.032	-0.196	1.896	5.952	-1.285	4.203	6.329	5.011	7.317	7.027	0.618	-0.243	3.958	8.119	-0.861	6.869	0.042	0.652	1.049	1.044	3.04	4.302	4.744	3.365	1.503	-0.099	2.813
3	4.322	7.236	7.184	1.997	-0.194	5.504	3.824	1.174	2.259	0.017	-0.013	1.948	1.225	1.896	2.79	2.458	-1.236	5.897	0.509	5.129	2.342	3.275	5.209	3.865	0.42	3.665	-0.255	-0.558	4.479	4.223	2.27	3.798	2.62	2.057	4.269	0.329	0.268	0.897	4.946	-0.014	0.184	3.383	3.496	-1.719	-0.045	5.513	7.691	5.265	4.63	-2.458	2.713	2.363	6.369	-1.106	6.382	-2.514	0.868	3.455	1.794	5.608	3.735	6.478	0.137	1.375	1.657	0.576
4	5.213	2.77	8.18	4.655	2.66	4.321	2.41	0.441	4.617	-0.133	-0.339	2.754	0.838	0.318	2.334	-0.459	0.073	5.444	-0.159	3.192	3.953	1.792	6.056	4.893	0.242	3.104	-0.487	-0.426	1.281	2.999	2.497	3.162	3.619	2.794	1.819	0.545	1.378	-0.302	5.749	0.105	-0.067	2.23	2.666	-1.367	1.975	7.865	8.626	7.028	7.519	0.488	0.738	2.539	5.816	-0.074	5.411	-1.741	2.743	1.877	2.824	4.839	5.138	8.484	2.795	1.88	-1.145	3.049
5	7.562	2.48	6.068	5.979	1.539	4.48	5.089	5.449	3.203	0.151	-0.007	5.382	0.414	-0.151	1.595	0.952	-1.013	2.538	0.254	3.344	2.341	4.019	-0.112	4.16	-0.985	1.434	-0.982	-0.757	3.909	3.09	2.134	3.343	3.094	1.808	2.611	5.296	2.013	2.616	2.998	0.163	-0.165	3.588	4.255	-0.443	2.404	7.727	4.856	4.712	1.973	-1.216	0.618	3.377	4.804	-0.874	4.866	0.756	0.095	4.391	2.986	4.471	4.994	6.209	2.333	-0.248	1.032	1.399
6	3.143	7.637	5.813	5.015	1.166	7.148	3.73	4.878	4.142	0.011	-0.055	4.104	0.869	0.89	3.742	0.785	-0.81	4.992	-0.856	3.448	3.933	2.882	0.401	5.248	1.424	2.391	-0.531	-1.017	2.897	4.811	3.493	5.691	5.132	2.741	1.513	3.835	1.873	1.847	1.33	0.201	-0.128	4.921	3.166	-1.002	4.227	5.066	4.873	5.995	5.663	0.06	1.449	3.348	7.515	0.172	7.762	-0.237	1.367	2.145	0.422	4.835	2.111	4.58	1.567	1.437	0.812	4.239
7	5.795	5.993	4.011	6.002	3.438	5.252	5.268	2.622	7.696	-0.217	0.011	2.345	0.915	0.752	4.39	0.775	-1.318	4.53	1.271	6.018	4.225	1.175	2.61	4.343	0.717	0.78	-0.232	0.415	2.214	2.166	3.542	4.921	3.539	6.024	2.326	1.413	3.279	3.961	5.442	0.249	-0.149	5.569	3.79	0.1	4.728	7.437	3.758	5.862	6.842	-0.642	1.396	2.802	4.007	-0.331	6.286	-0.59	1.486	0.84	4.683	4.11	4.187	5.547	-0.539	-0.393	1.375	1.828
8	3.843	1.67	5.907	7.997	3.576	3.179	5.336	2.906	2.927	-0.087	0.199	0.747	-0.123	0.36	4.986	-0.823	-0.581	4.786	2.543	3.534	3.111	1.561	3.286	3.37	1.364	2.175	-0.55	-0.823	4.398	5.515	0.522	2.268	2.145	6.522	4.242	2.095	3.596	3.733	4.043	0.121	-0.198	1.906	5.586	-0.648	3.356	5.715	4.947	4.763	4.56	-1.098	0.856	1.42	5.806	-0.525	6.969	-0.62	1.499	2.062	0.623	4.762	1.148	6.474	1.574	0.745	0.817	0.817
9	5.781	5.751	7.021	6.489	1.803	4.684	6.945	4.419	5.989	-0.072	0.157	1.407	-0.745	0.601	2.426	0.723	-1.879	2.954	2.173	2.509	4.896	-1.339	4.092	7.858	2.569	2.86	-0.431	0.317	-0.141	3.883	1.715	2.201	4.031	2.247	5.022	1.623	1.594	1.259	2.887	0.053	0.162	0.892	5.902	-1.951	3.53	3.111	3.799	5.655	6.228	1.803	2.654	3.016	5.84	-1.037	4.334	-0.834	0.418	3.42	2.011	4.367	0.916	3.938	2.067	0.347	2.038	4.904
10	4.029	6.378	7.247	3.086	2.414	5.405	3.534	3.438	4.903	-0.196	0.476	2.321	1.568	1.215	2.41	2.119	-0.332	3.217	2.27	3.827	4.602	2.841	2.582	4.858	3.566	4.17	-0.398	-1.931	2.613	4.025	4.488	2.703	3.023	4.018	3.787	2.936	0.654	3.983	4.826	0.015	-0.013	3.115	3.349	-1.25	5.107	5.202	6.815	5.649	7.321	-0.941	0.119	0.212	7.217	-0.559	6.649	1.127	1.448	2.744	3.16	3.141	5.553	2.853	3.847	-0.701	1.42	1.44
